;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;2485629.445246252;2.4440944;2435593.3543656245;2.5013952;1.0205436965866825
1;2475339.034793476;2.4491265;2427358.485945629;2.5021837;1.0197665689372435
2;2462769.7916052835;2.4406397;2411121.5308759515;2.4926288;1.0214208450581785
3;2485804.995697387;2.4409196;2433998.250334002;2.491986;1.0212846271998248
4;2477674.590305186;2.4439235;2436736.712008587;2.5034397;1.016800287899325
5;2508918.054981837;2.4602587;2465266.8394610006;2.513629;1.0177064871121133
6;2486678.078146963;2.4340014;2438227.5217365352;2.4922948;1.0198712203756606
7;2477146.115672069;2.4479291;2431829.9053749205;2.4927497;1.0186346134641198
8;2481592.225394318;2.4344645;2431026.9195449566;2.489199;1.0207999777554195
9;2485818.104843512;2.4338925;2437201.296789339;2.4982572;1.0199478016519272
10;2480391.725462703;2.4439986;2434013.2753092004;2.4991083;1.0190543127368978
11;2485755.1871248437;2.444545;2442656.4177052677;2.5066311;1.0176442209011387
12;2484171.7147424123;2.4420462;2438221.626099032;2.5012364;1.0188457391040768
13;2494018.3738655625;2.4410446;2455060.6279467363;2.500907;1.015868343728606
14;2506125.648177769;2.4376688;2462920.204385387;2.4957287;1.0175423644320478
15;2485990.0753297685;2.4418583;2441714.156347762;2.4946146;1.0181331294930251
16;2470552.0817260975;2.4263823;2420037.269677913;2.5042322;1.0208735678086924
17;2481670.28049655;2.4368846;2432746.780624797;2.4900918;1.0201103954843946
18;2482628.665168427;2.4381778;2436742.851622589;2.4937634;1.018830798463319
19;2492838.8735409933;2.4415493;2454143.8653924284;2.5067983;1.0157672126293125
20;2469714.4354954013;2.434598;2415426.9849003763;2.493175;1.0224753018552801
21;2486485.1504797684;2.4169817;2435793.2852127696;2.489228;1.0208112345061213
22;2472284.1070583635;2.4339929;2423973.591283502;2.493893;1.0199302978995248
23;2492086.1897026477;2.443698;2449682.627649545;2.5122726;1.017309818657525
24;2492242.1453144923;2.4490933;2444080.0149059556;2.4982905;1.019705627522342
25;2498195.854830761;2.4302294;2445535.709712317;2.4948692;1.0215331736556972
26;2478748.711043462;2.4419668;2422367.9893660042;2.500736;1.0232750440581135
27;2480066.9245221773;2.4285018;2427109.2046665344;2.4903965;1.0218192571450113
28;2480108.087445484;2.4462645;2425741.104701514;2.4968803;1.0224125248315237
29;2503265.0194230108;2.4464688;2454648.2440943695;2.5050669;1.0198060049726507
30;2506545.6466661985;2.4406397;2460298.907756775;2.506936;1.0187972033656634
31;2495708.3262502695;2.457213;2451375.078538649;2.5205634;1.0180850527933283
32;2489666.170135769;2.4381988;2452263.1849619723;2.492178;1.0152524351395738
33;2463338.8304437585;2.4369514;2408648.5190278166;2.499338;1.022705808250519
34;2488374.8711131755;2.4404187;2443114.9739689776;2.5063353;1.0185254880046315
35;2428628.2044762056;2.3976717;2429203.3882517326;2.512477;0.9997632212361021
36;2493029.6773122963;2.4457343;2445248.751490899;2.4984536;1.0195403129404585
37;2498413.9983655005;2.455327;2452176.3559605586;2.5063477;1.0188557573734658
38;2479165.575640038;2.4303672;2430052.167490315;2.4885688;1.0202108451854537
39;2502420.473462773;2.44689;2456667.5515015195;2.5022504;1.0186239778081854
40;2480764.704120251;2.4304047;2432967.1892518667;2.4917734;1.0196457704318989
41;2488062.7433055923;2.4501321;2441225.107117692;2.5068984;1.0191861193182634
42;2488918.745230134;2.4460142;2436976.8345381897;2.4984078;1.0213140765048707
43;2488109.563030439;2.4342058;2440524.427553674;2.4922237;1.0194979140300853
44;2474041.3662509215;2.427438;2428049.082307997;2.4985325;1.0189420734029009
45;2473505.1670695185;2.4295497;2420210.5615736563;2.4927995;1.0220206482617815
46;2499587.133778517;2.4457095;2449216.364470718;2.496751;1.0205660757614137
47;2495023.6118954327;2.4360375;2451806.951219978;2.4920983;1.0176264532792645
48;2492364.076234725;2.4385035;2439019.460216597;2.4992464;1.0218713367762102
49;2487320.6699482873;2.4384327;2438596.001411272;2.495633;1.019980623485324
50;2488792.59416908;2.439805;2441681.392263511;2.4927833;1.0192945738354073
51;2496375.5494324095;2.451459;2453895.7673833068;2.5110755;1.0173111599171145
52;2483496.6096705697;2.4470026;2437432.720967227;2.5026174;1.0188985272525033
53;2496311.503980037;2.4429011;2449149.9964853358;2.5014448;1.019256275672123
54;2498863.0808511483;2.4546676;2454841.064006965;2.512114;1.0179327360494481
55;2479194.295117044;2.4484882;2428204.3151554884;2.5107455;1.0209990484092728
56;2490748.275053124;2.4432268;2445639.8776462963;2.501979;1.0184444152301935
57;2465031.8660326055;2.441537;2412514.8813394913;2.4970222;1.0217685640405068
58;2479218.0865770862;2.4417455;2423286.675784912;2.4919233;1.0230808064729104
59;2492931.010915996;2.45115;2451943.473963122;2.5101695;1.0167163465993876
60;2488110.297172142;2.4258025;2440763.937099077;2.4818554;1.0193981725776144
61;2486596.468530908;2.4472075;2439700.3483555857;2.5017078;1.0192220820097564
62;2479550.2555041476;2.4315813;2433899.010934128;2.4894953;1.0187564251289534
