;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2717344,533311907;2,48091197013855;2488747,534045953;2,517198324203491;1,092655746146762
std;43435,00627902954;0,03876334801316261;61213,46661077835;0,04521602764725685;0,0393888201429437
min;866368,7057280235;0,8250417113304138;1005994,1839033484;1,079891562461853;0,36828848204531367
25%;2711639,937215329;2,476468801498413;2468298,9112698645;2,5121158361434937;1,0796648027234712
50%;2719339,6653366946;2,482677459716797;2496144,235840126;2,5233170986175537;1,088922163244431
75%;2727089,626633371;2,4888411164283752;2521543,6094566258;2,5320427417755127;1,1001996918699557
max;2760569,15583991;2,5189528465270996;2605512,4801339563;2,557689905166626;2,6959598585920688
CI 95 Lower;2716493,2228321554;2,4801522225513044;2487547,772146693;2,5163121064193796;1,0918837394580252
CI 95 Upper;2718195,843791659;2,481671717725795;2489947,2959452127;2,518084541987603;1,093427752835499
