;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;3896229,2221826776;2,809307336807251;3895451,4722461654;2,810765027999878;1,00049324296688
std;49524,1611325065;0,03452140837907791;47524,942093570746;0,03321274369955063;0,029095887128684432
min;1267572,585360309;0,9445785284042358;1296722,6596643622;0,9540541172027588;0,3252347210515688
25%;3890663,60956058;2,807539999485016;3889380,757340895;2,8087052702903748;1,000121301486999
50%;3898345,4514963487;2,810853958129883;3897106,093802969;2,8119804859161377;1,000312314299168
75%;3905864,4446349405;2,814074993133545;3904595,367469453;2,8152265548706055;1,0005043321677718
max;3945487,424705848;2,8291873931884766;3942631,1401074952;2,8296217918395996;3,010023781527349
CI 95 Lower;3895258,566460835;2,808630729636065;3894520,000497458;2,8101140701850893;0,9999229740581754
CI 95 Upper;3897199,8779045204;2,809983943978437;3896382,9439948727;2,8114159858146666;1,0010635118755846
