;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;3947129.734274984;2.797356;3928476.388814583;2.8177636;1.0047482391681193
1;3928985.046451466;2.7946315;3910752.8979208777;2.8137622;1.0046620558768318
2;3915591.3266132623;2.787893;3890523.950273806;2.8080707;1.0064431877710691
3;3949871.9977418752;2.7966259;3927795.5242676684;2.8147175;1.0056205760554002
4;3942050.8693893524;2.7931752;3925362.9546012827;2.8137662;1.004251304906342
5;3984806.48282442;2.8002934;3965829.0671682036;2.8166704;1.004785232881902
6;3940489.0925062844;2.7859614;3922768.1538418424;2.8094435;1.0045174575629932
7;3929833.450971765;2.7919152;3911639.4249179396;2.8083422;1.0046512533690928
8;3944249.8330143867;2.7970972;3923226.8151106583;2.8168457;1.005358603744947
9;3948219.3641030523;2.7881474;3936084.193587956;2.8076494;1.0030830566416402
10;3942563.156087689;2.7964008;3928865.5226811264;2.8163993;1.0034864093279567
11;3948016.1435949584;2.7949486;3932407.9686726583;2.8144007;1.0039691138474547
12;3601856.1252431283;2.56142;3928686.458710642;2.8227289;0.9168092600663336
13;3958972.672268091;2.7966259;3946609.199705539;2.813299;1.0031326822436522
14;3970328.741190927;2.789328;3951561.097662201;2.8118265;1.0047494251170326
15;3947507.350083091;2.800327;3928946.557421305;2.818402;1.0047241143116916
16;3918327.635033824;2.7911892;3905281.16803431;2.8161778;1.0033407241215568
17;3934905.224668215;2.79479;3916674.871396376;2.8151224;1.0046545485317089
18;3940129.782949662;2.794811;3925456.2028236785;2.8167956;1.0037380572773753
19;3968338.9562082747;2.802442;3955866.732504264;2.816975;1.0031528422334175
20;3916898.382487733;2.7932336;3898156.4016315397;2.8179054;1.004807908899794
21;3938112.176846674;2.785623;3917126.246869142;2.8050292;1.0053574811366637
22;3940228.738356528;2.7989626;3925471.2627983238;2.8229291;1.003759415002744
23;3957122.2569578285;2.7995965;3946415.5994065315;2.8190362;1.002713008116253
24;3950475.5059167403;2.7954907;3936041.6651778948;2.8149347;1.0036670955154112
25;3962939.470459645;2.790242;3943298.244744901;2.8172462;1.0049809130569618
26;3934960.083090909;2.7869;3406409.2993105506;2.4528902;1.1551636158013472
27;3933942.7728743292;2.783883;3913907.917201134;2.808146;1.005118887847398
28;3945405.8218946066;2.7855895;3920872.677910666;2.8116093;1.0062570621387823
29;3966162.7095545256;2.7945688;3944593.0010365373;2.8170836;1.0054681708638433
30;3974024.809843431;2.8038652;3957971.3752290453;2.8199415;1.0040559754208573
31;3961946.3682452575;2.8026092;3944761.80699584;2.8215103;1.0043562988312607
32;3953591.3120561973;2.7962337;3937320.6683466346;2.815452;1.0041324151828341
