;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;3959274.851622479;2.7917273;3938722.4554068428;2.8214395;1.0052180361648542
1;3939021.8766645584;2.7886064;3919472.1003600685;2.8224783;1.0049878595392205
2;3936207.805337004;2.7828233;3909974.2303432883;2.812623;1.0067093984380078
3;3950637.715344654;2.780679;3930653.6939085573;2.8109665;1.0050841470636465
4;3961400.3651626357;2.7876177;3940128.187003154;2.8108208;1.0053988543392192
5;3974507.1991793565;2.7970097;3946472.534321736;2.8223612;1.0071037273448145
6;3940565.7865683762;2.784296;3920560.8002657774;2.8085842;1.0051025828501992
7;3962710.1599866827;2.7933755;3945542.5135977487;2.8197997;1.0043511497670519
8;3929049.612850775;2.795562;3913110.8645213395;2.8220446;1.0040731655404773
9;3943280.775420172;2.7913938;3922735.84138966;2.8165245;1.0052373993205808
10;3966747.009903756;2.7829235;3949562.757574764;2.810712;1.004350925250152
11;3928488.3401267785;2.7733643;3905759.7820466943;2.8096523;1.0058192411588032
12;3956208.3639042536;2.7867038;3938501.40975768;2.8158276;1.004495860812111
13;3939786.973074923;2.7847636;3917208.217754022;2.8153477;1.005763991614887
14;3981751.925428846;2.7993548;3967068.7428323906;2.820868;1.0037012674970618
15;3936725.134596943;2.7800276;3919116.236946083;2.80684;1.0044930786907666
16;3932947.9413565025;2.7837245;3907138.1662831674;2.8126273;1.0066058004541691
17;3943570.719079499;2.791039;3927991.0238569053;2.8171792;1.0039663265847527
18;3973105.289121962;2.790238;3960317.173676902;2.8165698;1.003229063452306
19;3962351.2662362824;2.782164;3938241.894182437;2.8120265;1.0061218616584877
20;3945304.553486112;2.784709;3920248.0242713173;2.8173294;1.0063915673344297
21;3956045.220112962;2.7861655;3935828.7041465226;2.8174424;1.00513653349424
22;3933570.278999614;2.7829194;3913394.2376274946;2.813883;1.0051556373181434
23;3957746.1771576856;2.7883558;3941243.029884445;2.816328;1.0041872950102557
24;3945314.4938875237;2.7969599;3930049.562610172;2.826659;1.0038841574474224
25;3977163.00865878;2.7884395;3958722.083660347;2.8172169;1.0046583025048785
26;3932496.704223535;2.782089;3906940.8993242285;2.8098316;1.0065411291232296
27;3938268.681040757;2.7854981;3914612.0836665328;2.8138664;1.0060431523912496
28;3938455.3924581488;2.794014;3921422.7457532;2.8197458;1.0043434864867335
29;3966581.2379443925;2.7845883;3944783.325455399;2.8110793;1.005525756598172
30;3961349.84941372;2.792466;3943087.5750423144;2.818719;1.004631465577127
31;3975523.59628115;2.7925742;3954538.9159925957;2.8186564;1.005306479651443
32;3960243.3392592836;2.7986453;3937491.3078252533;2.824502;1.0057783064533536
33;3950295.2422910845;2.786328;3930099.8755209227;2.8120098;1.0051386395790984
34;3963760.2513051704;2.7887359;3935109.5893073664;2.815844;1.0072807786791134
35;3954208.327405999;2.789345;3927980.9014859796;2.8147094;1.0066770757235854
36;3951634.0861301287;2.7851808;3936868.17539905;2.8146343;1.0037506744125568
37;3957009.308475658;2.7858024;3936782.792668075;2.8144255;1.0051378287481985
38;3944789.7061194605;2.7827983;3927466.7392717493;2.8136034;1.0044107227375076
39;3958537.574996608;2.7975519;3945489.4805787522;2.8264754;1.0033070914222642
40;3950177.38406654;2.7867162;3932100.1288606194;2.8115468;1.0045973537329933
41;3943815.3565516165;2.7779038;3914562.6869299714;2.8074448;1.0074727809875965
42;3956988.262399215;2.7882977;3934425.6422360498;2.8189943;1.005734666814123
43;3960750.716710891;2.7937927;3944875.0137760346;2.8215687;1.0040243868004477
44;3952710.5886547775;2.7912683;3935050.390345559;2.8199122;1.0044879217690699
