;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;4196131,856185227;2,7608745098114014;4006442,4017293053;2,8190248012542725;1,0478391927814774
std;62660,85372750256;0,04009772464632988;73205,97217946434;0,034206144511699677;0,034271140103994784
min;1271554,243806563;0,8648970723152161;1339981,3372520232;0,9576549530029297;0,31926962541708725
25%;4188081,285180581;2,7576372623443604;3984334,700323461;2,8170154094696045;1,0399991345177635
50%;4198736,7564858515;2,7624409198760986;4015015,236639656;2,8213309049606323;1,0455423807654673
75%;4209372,9997025775;2,7675324082374573;4041069,6731598377;2,8251402974128723;1,0523482521790153
max;4253102,26201164;2,7901878356933594;4133896,825727385;2,8400444984436035;3,1395812635647307
CI 95 Lower;4194903,726019762;2,7600886088497134;4005007,5910400553;2,8183543731413434;1,047167490778348
CI 95 Upper;4197359,986350691;2,7616604107730893;4007877,2124185553;2,8196952293672015;1,048510894784607
