;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;1931038.3858480144;2.2472546;1921001.1839936431;2.265104;1.005224984730881
1;1926846.9850273281;2.2282863;1915639.4532853053;2.2493575;1.0058505433905123
2;1926099.4358286792;2.228345;1916183.6669898827;2.2414713;1.0051747486473326
3;1931309.1944899552;2.223125;1921173.5354242257;2.2343657;1.005275764463147
4;1936359.9001806674;2.2409332;1928119.5106325;2.2501545;1.0042737960498436
5;1940605.0981823555;2.248573;1930874.071345759;2.2607398;1.005039700403566
6;1932622.2102074102;2.2312655;1921935.1853206893;2.2493742;1.0055605542623631
7;1932138.8744260636;2.2381294;1923937.507976899;2.2575269;1.0042628029315717
8;1915976.4745724972;2.2327719;1908690.918727697;2.2513018;1.0038170432799338
9;1930922.0849489633;2.2226622;1921184.8867241286;2.2419388;1.0050683295981147
10;1938434.6278359059;2.2398818;1930880.0118774932;2.252024;1.0039125248135263
11;1925494.3568941327;2.2235339;1917482.1652295429;2.2412128;1.004178496055858
12;1933213.9776465816;2.2341404;1925171.0367930785;2.2510388;1.0041777798958065
13;1925393.1068349828;2.2281613;1914615.9508419647;2.2411754;1.0056288865598757
14;1948555.3262316384;2.2396898;1941416.4630209622;2.2563298;1.0036771415853596
15;1921432.4131692261;2.2359388;1911861.4601617889;2.254477;1.0050060912921104
16;1926595.0203438888;2.2284534;1914928.429840882;2.2463617;1.0060924420574695
17;1925098.0494037292;2.2402198;1917362.465742149;2.265321;1.0040344920690758
18;1919358.555357998;2.2270472;1928166.4628960805;2.2610192;0.9954319776287089
19;1936185.427841925;2.2287161;1927759.909338554;2.2563758;1.004370626478202
20;1880031.5770559742;2.1680152;1915923.9415837117;2.2408705;0.9812662894655052
21;1935055.779988973;2.2294798;1925894.1389237938;2.2449596;1.004757084452367
22;1927514.0955615768;2.2305439;1918640.1749838882;2.248231;1.0046251093318022
23;1928958.5042198086;2.2421308;1920734.5679037608;2.2567554;1.0042816620544417
24;1925899.9501043214;2.2382045;1917120.4034114755;2.2488987;1.0045795489303764
25;1946852.3749897275;2.2474046;1937371.6975631744;2.2596383;1.004893576920979
26;1923601.8438474033;2.2341154;1911312.7291709327;2.2538848;1.0064296723863715
27;1923570.7957433562;2.242335;1913949.6763459435;2.251694;1.005026840316816
28;1928190.9872779325;2.2326257;1919959.1599580601;2.2458484;1.004287501261252
29;1938082.894193002;2.2468708;1928653.7092857086;2.2591796;1.004888998404377
30;1935808.2378476795;2.2359972;1926242.2214257638;2.2485814;1.0049661544719102
31;1939757.3361865266;2.243641;1928544.0350913142;2.2574854;1.005814386859298
32;1931163.6027789733;2.2434866;1920908.5867970795;2.2583408;1.0053386277995628
33;1930414.109095467;2.237641;1921070.9357548524;2.2511852;1.0048635233435268
34;1935078.2632763225;2.2416635;1926044.1155784046;2.258883;1.0046905196121143
35;1928129.7831164654;2.2412837;1919739.143567415;2.2551906;1.0043707185828687
36;1932521.78244156;2.2423935;1923381.859401958;2.250075;1.0047520064697104
37;1932282.0032210373;2.2261043;1924878.5595075563;2.2424562;1.0038461874266889
38;1926075.1955190517;2.240758;1918318.3737785495;2.255182;1.0040435528567782
39;1934106.9611283347;2.2242641;1923822.534156026;2.2372656;1.0053458293526125
40;1930262.9174983304;2.2373743;1920030.6629162629;2.2591336;1.0053292141525105
41;1932058.7288147942;2.2211182;1922174.2901514824;2.2468417;1.005142321751964
42;1934464.2248228046;2.229772;1927066.9818018219;2.2508678;1.0038386019224232
43;1935716.9161369079;2.250196;1927204.2867997624;2.2615285;1.004417087174127
44;1929643.1508023196;2.2483728;1920670.1372815385;2.2591002;1.0046718139396291
45;1930980.4624035622;2.2358801;1922540.1326787227;2.2541435;1.0043901968969975
46;1934654.5459776982;2.233331;1925311.0634556331;2.24705;1.0048529729555986
47;1933085.2395867442;2.2341738;1921405.416428563;2.2591336;1.0060787916273761
48;1937241.4700860772;2.2416801;1926992.9697108334;2.2600849;1.0053183901219847
49;1927831.9544233005;2.2401361;1920377.3635736683;2.2552238;1.0038818364510191
50;1926990.134121023;2.2407832;1917342.1444787239;2.2541597;1.0050319603468176
51;1934082.8918387704;2.2337315;1926978.1223374137;2.249395;1.0036870006042096
52;1920762.3980158374;2.2341573;1914252.5566443035;2.2493865;1.0034007223074817
53;1941140.1128272377;2.2415047;1930108.9945283295;2.2528417;1.0057152825722175
54;1918894.0018433025;2.2365396;1911874.6991991596;2.2563925;1.0036714239939903
55;1941365.5308786687;2.2438333;1932385.5846487663;2.2591877;1.004647077840593
56;1938830.0483448505;2.221769;1930072.0198090102;2.2409666;1.004537669292106
57;1939112.4237315923;2.244175;1927993.9124440835;2.256221;1.0057668809096052
58;1918831.5650148608;2.2376118;1907654.1203206142;2.2529123;1.0058592616843813
59;1925406.0903635193;2.2381501;1916091.7196485696;2.2522366;1.0048611298819548
60;1931103.349934652;2.2419388;1921723.9418434391;2.2513185;1.0048807260434167
61;1930168.5404885053;2.2287788;1921777.2347694275;2.2407913;1.0043664299728707
62;1921835.9439287945;2.2241974;1912948.600268935;2.243345;1.004645887327349
63;1927377.4091136593;2.2414672;1918811.5192311143;2.256897;1.0044641642999816
