;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;24,0;24,0;24,0;24,0;24,0
mean;2243470,2260082015;2,29323410987854;2007742,9704875045;2,29791259765625;1,1179186811143145
std;10932,778937512947;0,009759579785168171;46933,43597037312;0,02639211341738701;0,023208535332320087
min;2219900,0408455026;2,2687718868255615;1920194,3613263015;2,2269554138183594;1,0695887441427254
25%;2236843,296215364;2,2870535850524902;1989306,720121295;2,281062960624695;1,102687970009633
50%;2242193,8683091095;2,295369267463684;2006969,0821430958;2,299374580383301;1,1142634519094032
75%;2251558,6311291656;2,300137460231781;2034188,0750677732;2,314942240715027;1,1257370113525047
max;2267487,1302939714;2,315174102783203;2119961,6606954485;2,3381597995758057;1,1659741170490603
CI 95 Lower;2239096,2838368583;2,2893295364996287;1988966,0304240347;2,287353747200481;1,1086335037586446
CI 95 Upper;2247844,1681795446;2,2971386832574514;2026519,9105509743;2,308471448112019;1,1272038584699844
